timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1738606399552,476,Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-2,,true,,306454,1922,2,2,null,419,2095,47
1738606402017,213,https://payment.hotmart.com/R54638781B?checkoutMode=10&_hi=eyJjaWQiOiIxNzM4NjAyMjE1NTAzNzU3MzQ4Mzc1NzY3Mjk2ODAwIiwiYmlkIjoiMTczODYwMjIxNTUwMzc1NzM0ODM3NTc2NzI5NjgwMCIsInNpZCI6Ijc5ZjUxNzk2OTk1YjQ1ZjZhYmZmZWRiYjZjYjA0YzNhIn0=.1738605778701,200,OK,Thread Group 1-3,text,true,,282175,1414,1,1,https://pay.hotmart.com/R54638781B?_hi=eyJjaWQiOiIxNzM4NjAyMjE1NTAzNzU3MzQ4Mzc1NzY3Mjk2ODAwIiwiYmlkIjoiMTczODYwMjIxNTUwMzc1NzM0ODM3NTc2NzI5NjgwMCIsInNpZCI6Ijc5ZjUxNzk2OTk1YjQ1ZjZhYmZmZWRiYjZjYjA0YzNhIn0=.1738605778701&checkoutMode=10,164,0,16
1738606402017,164,https://payment.hotmart.com/R54638781B?checkoutMode=10&_hi=eyJjaWQiOiIxNzM4NjAyMjE1NTAzNzU3MzQ4Mzc1NzY3Mjk2ODAwIiwiYmlkIjoiMTczODYwMjIxNTUwMzc1NzM0ODM3NTc2NzI5NjgwMCIsInNpZCI6Ijc5ZjUxNzk2OTk1YjQ1ZjZhYmZmZWRiYjZjYjA0YzNhIn0=.1738605778701-0,307,Temporary Redirect,Thread Group 1-3,,true,,570,710,1,1,https://payment.hotmart.com/R54638781B?_hi=eyJjaWQiOiIxNzM4NjAyMjE1NTAzNzU3MzQ4Mzc1NzY3Mjk2ODAwIiwiYmlkIjoiMTczODYwMjIxNTUwMzc1NzM0ODM3NTc2NzI5NjgwMCIsInNpZCI6Ijc5ZjUxNzk2OTk1YjQ1ZjZhYmZmZWRiYjZjYjA0YzNhIn0%3D.1738605778701&checkoutMode=10,164,0,16
1738606402182,48,https://payment.hotmart.com/R54638781B?checkoutMode=10&_hi=eyJjaWQiOiIxNzM4NjAyMjE1NTAzNzU3MzQ4Mzc1NzY3Mjk2ODAwIiwiYmlkIjoiMTczODYwMjIxNTUwMzc1NzM0ODM3NTc2NzI5NjgwMCIsInNpZCI6Ijc5ZjUxNzk2OTk1YjQ1ZjZhYmZmZWRiYjZjYjA0YzNhIn0=.1738605778701-1,200,OK,Thread Group 1-3,text,true,,281605,704,1,1,https://pay.hotmart.com/R54638781B?_hi=eyJjaWQiOiIxNzM4NjAyMjE1NTAzNzU3MzQ4Mzc1NzY3Mjk2ODAwIiwiYmlkIjoiMTczODYwMjIxNTUwMzc1NzM0ODM3NTc2NzI5NjgwMCIsInNpZCI6Ijc5ZjUxNzk2OTk1YjQ1ZjZhYmZmZWRiYjZjYjA0YzNhIn0=.1738605778701&checkoutMode=10,29,0,14
1738606399882,254,Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-3,,true,,306454,1922,1,1,null,197,2094,39
1738606417736,45,https://gitgithub.andreregino.com.br/,200,OK,Thread Group 1-1,text,true,,24279,508,1,1,https://gitgithub.andreregino.com.br/,39,0,31
1738606418069,43,https://gitgithub.andreregino.com.br/,200,OK,Thread Group 1-2,text,true,,24279,508,2,2,https://gitgithub.andreregino.com.br/,35,0,24
1738606418403,33,https://gitgithub.andreregino.com.br/,200,OK,Thread Group 1-3,text,true,,24279,508,3,3,https://gitgithub.andreregino.com.br/,27,0,19
1738606420205,930,https://payment.hotmart.com/R54638781B?checkoutMode=10&_hi=eyJjaWQiOiIxNzM4NjAyMjE1NTAzNzU3MzQ4Mzc1NzY3Mjk2ODAwIiwiYmlkIjoiMTczODYwMjIxNTUwMzc1NzM0ODM3NTc2NzI5NjgwMCIsInNpZCI6Ijc5ZjUxNzk2OTk1YjQ1ZjZhYmZmZWRiYjZjYjA0YzNhIn0=.1738605778701,200,OK,Thread Group 1-2,text,true,,282175,1414,3,3,https://pay.hotmart.com/R54638781B?_hi=eyJjaWQiOiIxNzM4NjAyMjE1NTAzNzU3MzQ4Mzc1NzY3Mjk2ODAwIiwiYmlkIjoiMTczODYwMjIxNTUwMzc1NzM0ODM3NTc2NzI5NjgwMCIsInNpZCI6Ijc5ZjUxNzk2OTk1YjQ1ZjZhYmZmZWRiYjZjYjA0YzNhIn0=.1738605778701&checkoutMode=10,165,0,25
1738606420205,165,https://payment.hotmart.com/R54638781B?checkoutMode=10&_hi=eyJjaWQiOiIxNzM4NjAyMjE1NTAzNzU3MzQ4Mzc1NzY3Mjk2ODAwIiwiYmlkIjoiMTczODYwMjIxNTUwMzc1NzM0ODM3NTc2NzI5NjgwMCIsInNpZCI6Ijc5ZjUxNzk2OTk1YjQ1ZjZhYmZmZWRiYjZjYjA0YzNhIn0=.1738605778701-0,307,Temporary Redirect,Thread Group 1-2,,true,,570,710,3,3,https://payment.hotmart.com/R54638781B?_hi=eyJjaWQiOiIxNzM4NjAyMjE1NTAzNzU3MzQ4Mzc1NzY3Mjk2ODAwIiwiYmlkIjoiMTczODYwMjIxNTUwMzc1NzM0ODM3NTc2NzI5NjgwMCIsInNpZCI6Ijc5ZjUxNzk2OTk1YjQ1ZjZhYmZmZWRiYjZjYjA0YzNhIn0%3D.1738605778701&checkoutMode=10,165,0,25
